sample,module,index,type,trait,ns,functions_added,metadata_added
1,::std::ops,17,::std::ops::RangeInclusiveIter,::std::iter::Iterator,25353,66,34
1,::std::ops,18,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,3546,7,4
1,::std::ops,19,::std::ops::RangeInclusiveIter,::std::iter::ExactSizeIterator,837,2,1
1,::std::ops,20,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,2574,7,4
1,::std::ops,21,::std::ops::RangeInclusiveIter,::std::iter::ExactSizeIterator,813,2,1
1,::std::ops,22,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,2653,7,4
1,::std::ops,23,::std::ops::RangeToInclusive,::std::cmp::PartialEq,1682,4,2
1,::std::ops,24,::std::ops::RangeToInclusive,::std::cmp::Eq,49,0,0
1,::std::ops,25,::std::ops::RangeToInclusive,::std::cmp::PartialOrd,4427,14,9
1,::std::ops,26,::std::ops::RangeToInclusive,::std::cmp::Ord,2740,8,5
1,::std::ops,27,::std::ops::RangeTo,::std::cmp::PartialEq,1928,4,2
1,::std::ops,28,::std::ops::RangeTo,::std::cmp::Eq,65,0,0
1,::std::ops,29,::std::ops::RangeTo,::std::cmp::PartialOrd,4969,14,9
1,::std::ops,30,::std::ops::RangeTo,::std::cmp::Ord,69677,8,5
1,::std::ops,31,::std::ops::Range,::std::cmp::PartialEq,1791,4,2
1,::std::ops,32,::std::ops::Range,::std::cmp::Eq,64,0,0
1,::std::ops,33,::std::ops::Range,::std::cmp::PartialOrd,5780,14,9
1,::std::ops,34,::std::ops::Range,::std::cmp::Ord,3398,8,5
1,::std::ops,35,::std::ops::RangeIter,::std::iter::Iterator,30248,66,34
1,::std::ops,36,::std::ops::RangeIter,::std::iter::Iterator,28368,66,34
1,::std::ops,37,::std::ops::RangeIter,::std::iter::Iterator,28597,66,34
1,::std::ops,38,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,3374,7,4
1,::std::ops,39,::std::ops::RangeIter,::std::iter::ExactSizeIterator,915,2,1
1,::std::ops,40,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,2479,7,4
1,::std::ops,41,::std::ops::RangeIter,::std::iter::ExactSizeIterator,812,2,1
1,::std::ops,42,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,2506,7,4
1,::std::ops,43,::std::ops::ControlFlow,::std::cmp::PartialEq,59371,4,2
1,::std::ops,44,::std::ops::ControlFlow,::std::cmp::Eq,64,0,0
1,::std::ops,45,::std::ops::ControlFlow,::std::clone::Clone,946,2,1
1,::std::ops,46,::std::ops::Function,::std::clone::Clone,907,2,1
2,::std::iter,0,::std::iter::Rev,::std::iter::Iterator,46661,66,34
2,::std::iter,1,::std::iter::Rev,::std::iter::DoubleEndedIterator,3332,7,4
2,::std::iter,2,::std::iter::Rev,::std::iter::ExactSizeIterator,830,2,1
2,::std::iter,3,::std::iter::Chain,::std::iter::Iterator,29905,66,34
2,::std::iter,4,::std::iter::Chain,::std::iter::DoubleEndedIterator,2749,7,4
2,::std::iter,5,::std::iter::Chain,::std::iter::ExactSizeIterator,858,2,1
2,::std::iter,6,::std::iter::Enumerate,::std::iter::Iterator,40431,66,34
2,::std::iter,7,::std::iter::Enumerate,::std::iter::DoubleEndedIterator,2775,7,4
2,::std::iter,8,::std::iter::Enumerate,::std::iter::ExactSizeIterator,856,2,1
2,::std::iter,9,::std::iter::Filter,::std::iter::Iterator,29827,66,34
2,::std::iter,10,::std::iter::Filter,::std::iter::DoubleEndedIterator,2738,7,4
2,::std::iter,11,::std::iter::Map,::std::iter::Iterator,33312,66,34
2,::std::iter,12,::std::iter::Map,::std::iter::DoubleEndedIterator,2762,7,4
2,::std::iter,13,::std::iter::Map,::std::iter::ExactSizeIterator,13294,2,1
2,::std::iter,14,::std::iter::FilterMap,::std::iter::Iterator,40904,67,35
2,::std::iter,15,::std::iter::FilterMap,::std::iter::DoubleEndedIterator,3364,7,4
2,::std::iter,16,::std::iter::FlatMap,::std::iter::Iterator,26048,66,34
2,::std::iter,17,::std::iter::FlatMap,::std::iter::DoubleEndedIterator,10367,7,4
2,::std::iter,18,::std::iter::Peekable,::std::iter::Iterator,25983,66,34
2,::std::iter,19,::std::iter::Peekable,::std::iter::DoubleEndedIterator,2712,7,4
2,::std::iter,20,::std::iter::Peekable,::std::iter::ExactSizeIterator,806,2,1
2,::std::iter,21,::std::iter::Skip,::std::iter::Iterator,26242,66,34
2,::std::iter,22,::std::iter::Skip,::std::iter::DoubleEndedIterator,3736,7,4
2,::std::iter,23,::std::iter::Skip,::std::iter::ExactSizeIterator,976,2,1
2,::std::iter,24,::std::iter::Take,::std::iter::Iterator,35583,66,34
2,::std::iter,25,::std::iter::Take,::std::iter::DoubleEndedIterator,2544,7,4
2,::std::iter,26,::std::iter::Take,::std::iter::ExactSizeIterator,741,2,1
2,::std::iter,27,::std::iter::Empty,::std::iter::Iterator,39988,66,34
2,::std::iter,28,::std::iter::Empty,::std::iter::DoubleEndedIterator,2486,7,4
2,::std::iter,29,::std::iter::Once,::std::iter::Iterator,41704,66,34
2,::std::iter,30,::std::iter::Once,::std::iter::DoubleEndedIterator,2476,7,4
2,::std::ops,0,::std::ops::RangeFrom,::std::cmp::PartialEq,2001,4,2
2,::std::ops,1,::std::ops::RangeFrom,::std::cmp::Eq,85,0,0
2,::std::ops,2,::std::ops::RangeFrom,::std::cmp::PartialOrd,5662,14,9
2,::std::ops,3,::std::ops::RangeFrom,::std::cmp::Ord,2919,8,5
2,::std::ops,4,::std::ops::RangeFromIter,::std::iter::Iterator,68650,66,34
2,::std::ops,5,::std::ops::RangeFromIter,::std::iter::Iterator,27956,66,34
2,::std::ops,6,::std::ops::RangeFromIter,::std::iter::Iterator,26921,66,34
2,::std::ops,7,::std::ops::RangeFull,::std::cmp::PartialEq,1873,4,2
2,::std::ops,8,::std::ops::RangeFull,::std::cmp::Eq,52,0,0
2,::std::ops,9,::std::ops::RangeFull,::std::cmp::PartialOrd,4780,14,9
2,::std::ops,10,::std::ops::RangeFull,::std::cmp::Ord,2636,8,5
2,::std::ops,11,::std::ops::RangeInclusive,::std::cmp::PartialEq,1710,4,2
2,::std::ops,12,::std::ops::RangeInclusive,::std::cmp::Eq,53,0,0
2,::std::ops,13,::std::ops::RangeInclusive,::std::cmp::PartialOrd,5386,14,9
2,::std::ops,14,::std::ops::RangeInclusive,::std::cmp::Ord,2925,8,5
2,::std::ops,15,::std::ops::RangeInclusiveIter,::std::iter::Iterator,26328,66,34
2,::std::ops,16,::std::ops::RangeInclusiveIter,::std::iter::Iterator,27024,66,34
2,::std::ops,17,::std::ops::RangeInclusiveIter,::std::iter::Iterator,26256,66,34
2,::std::ops,18,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,3494,7,4
2,::std::ops,19,::std::ops::RangeInclusiveIter,::std::iter::ExactSizeIterator,871,2,1
2,::std::ops,20,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,2595,7,4
2,::std::ops,21,::std::ops::RangeInclusiveIter,::std::iter::ExactSizeIterator,820,2,1
2,::std::ops,22,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,2559,7,4
2,::std::ops,23,::std::ops::RangeToInclusive,::std::cmp::PartialEq,1779,4,2
2,::std::ops,24,::std::ops::RangeToInclusive,::std::cmp::Eq,72,0,0
2,::std::ops,25,::std::ops::RangeToInclusive,::std::cmp::PartialOrd,4295,14,9
2,::std::ops,26,::std::ops::RangeToInclusive,::std::cmp::Ord,2702,8,5
2,::std::ops,27,::std::ops::RangeTo,::std::cmp::PartialEq,1817,4,2
2,::std::ops,28,::std::ops::RangeTo,::std::cmp::Eq,77,0,0
2,::std::ops,29,::std::ops::RangeTo,::std::cmp::PartialOrd,5047,14,9
2,::std::ops,30,::std::ops::RangeTo,::std::cmp::Ord,66745,8,5
2,::std::ops,31,::std::ops::Range,::std::cmp::PartialEq,1864,4,2
2,::std::ops,32,::std::ops::Range,::std::cmp::Eq,58,0,0
2,::std::ops,33,::std::ops::Range,::std::cmp::PartialOrd,5416,14,9
2,::std::ops,34,::std::ops::Range,::std::cmp::Ord,3267,8,5
2,::std::ops,35,::std::ops::RangeIter,::std::iter::Iterator,30725,66,34
2,::std::ops,36,::std::ops::RangeIter,::std::iter::Iterator,28904,66,34
2,::std::ops,37,::std::ops::RangeIter,::std::iter::Iterator,28405,66,34
2,::std::ops,38,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,3331,7,4
2,::std::ops,39,::std::ops::RangeIter,::std::iter::ExactSizeIterator,948,2,1
2,::std::ops,40,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,2544,7,4
2,::std::ops,41,::std::ops::RangeIter,::std::iter::ExactSizeIterator,799,2,1
2,::std::ops,42,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,2600,7,4
2,::std::ops,43,::std::ops::ControlFlow,::std::cmp::PartialEq,59805,4,2
2,::std::ops,44,::std::ops::ControlFlow,::std::cmp::Eq,64,0,0
2,::std::ops,45,::std::ops::ControlFlow,::std::clone::Clone,953,2,1
2,::std::ops,46,::std::ops::Function,::std::clone::Clone,893,2,1
3,::std::iter,0,::std::iter::Rev,::std::iter::Iterator,59372,66,34
3,::std::iter,1,::std::iter::Rev,::std::iter::DoubleEndedIterator,3289,7,4
3,::std::iter,2,::std::iter::Rev,::std::iter::ExactSizeIterator,841,2,1
3,::std::iter,3,::std::iter::Chain,::std::iter::Iterator,31917,66,34
3,::std::iter,4,::std::iter::Chain,::std::iter::DoubleEndedIterator,3652,7,4
3,::std::iter,5,::std::iter::Chain,::std::iter::ExactSizeIterator,1778,2,1
3,::std::iter,6,::std::iter::Enumerate,::std::iter::Iterator,44546,66,34
3,::std::iter,7,::std::iter::Enumerate,::std::iter::DoubleEndedIterator,2677,7,4
3,::std::iter,8,::std::iter::Enumerate,::std::iter::ExactSizeIterator,896,2,1
3,::std::iter,9,::std::iter::Filter,::std::iter::Iterator,30227,66,34
3,::std::iter,10,::std::iter::Filter,::std::iter::DoubleEndedIterator,2893,7,4
3,::std::iter,11,::std::iter::Map,::std::iter::Iterator,35939,66,34
3,::std::iter,12,::std::iter::Map,::std::iter::DoubleEndedIterator,2806,7,4
3,::std::iter,13,::std::iter::Map,::std::iter::ExactSizeIterator,1750,2,1
3,::std::iter,14,::std::iter::FilterMap,::std::iter::Iterator,42268,67,35
3,::std::iter,15,::std::iter::FilterMap,::std::iter::DoubleEndedIterator,3493,7,4
3,::std::iter,16,::std::iter::FlatMap,::std::iter::Iterator,32945,66,34
3,::std::iter,17,::std::iter::FlatMap,::std::iter::DoubleEndedIterator,10440,7,4
3,::std::iter,18,::std::iter::Peekable,::std::iter::Iterator,25645,66,34
3,::std::iter,19,::std::iter::Peekable,::std::iter::DoubleEndedIterator,2771,7,4
3,::std::iter,20,::std::iter::Peekable,::std::iter::ExactSizeIterator,840,2,1
3,::std::iter,21,::std::iter::Skip,::std::iter::Iterator,29767,66,34
3,::std::iter,22,::std::iter::Skip,::std::iter::DoubleEndedIterator,3774,7,4
3,::std::iter,23,::std::iter::Skip,::std::iter::ExactSizeIterator,998,2,1
3,::std::iter,24,::std::iter::Take,::std::iter::Iterator,33810,66,34
3,::std::iter,25,::std::iter::Take,::std::iter::DoubleEndedIterator,2575,7,4
3,::std::iter,26,::std::iter::Take,::std::iter::ExactSizeIterator,775,2,1
3,::std::iter,27,::std::iter::Empty,::std::iter::Iterator,44726,66,34
3,::std::iter,28,::std::iter::Empty,::std::iter::DoubleEndedIterator,2501,7,4
3,::std::iter,29,::std::iter::Once,::std::iter::Iterator,40215,66,34
3,::std::iter,30,::std::iter::Once,::std::iter::DoubleEndedIterator,2434,7,4
3,::std::ops,0,::std::ops::RangeFrom,::std::cmp::PartialEq,2001,4,2
3,::std::ops,1,::std::ops::RangeFrom,::std::cmp::Eq,96,0,0
3,::std::ops,2,::std::ops::RangeFrom,::std::cmp::PartialOrd,9587,14,9
3,::std::ops,3,::std::ops::RangeFrom,::std::cmp::Ord,2924,8,5
3,::std::ops,4,::std::ops::RangeFromIter,::std::iter::Iterator,72344,66,34
3,::std::ops,5,::std::ops::RangeFromIter,::std::iter::Iterator,30299,66,34
3,::std::ops,6,::std::ops::RangeFromIter,::std::iter::Iterator,30080,66,34
3,::std::ops,7,::std::ops::RangeFull,::std::cmp::PartialEq,1804,4,2
3,::std::ops,8,::std::ops::RangeFull,::std::cmp::Eq,53,0,0
3,::std::ops,9,::std::ops::RangeFull,::std::cmp::PartialOrd,5015,14,9
3,::std::ops,10,::std::ops::RangeFull,::std::cmp::Ord,2653,8,5
3,::std::ops,11,::std::ops::RangeInclusive,::std::cmp::PartialEq,1799,4,2
3,::std::ops,12,::std::ops::RangeInclusive,::std::cmp::Eq,67,0,0
3,::std::ops,13,::std::ops::RangeInclusive,::std::cmp::PartialOrd,5399,14,9
3,::std::ops,14,::std::ops::RangeInclusive,::std::cmp::Ord,2936,8,5
3,::std::ops,15,::std::ops::RangeInclusiveIter,::std::iter::Iterator,28954,66,34
3,::std::ops,16,::std::ops::RangeInclusiveIter,::std::iter::Iterator,32586,66,34
3,::std::ops,17,::std::ops::RangeInclusiveIter,::std::iter::Iterator,26315,66,34
3,::std::ops,18,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,4974,7,4
3,::std::ops,19,::std::ops::RangeInclusiveIter,::std::iter::ExactSizeIterator,1692,2,1
3,::std::ops,20,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,2723,7,4
3,::std::ops,21,::std::ops::RangeInclusiveIter,::std::iter::ExactSizeIterator,772,2,1
3,::std::ops,22,::std::ops::RangeInclusiveIter,::std::iter::DoubleEndedIterator,2468,7,4
3,::std::ops,23,::std::ops::RangeToInclusive,::std::cmp::PartialEq,1736,4,2
3,::std::ops,24,::std::ops::RangeToInclusive,::std::cmp::Eq,49,0,0
3,::std::ops,25,::std::ops::RangeToInclusive,::std::cmp::PartialOrd,4346,14,9
3,::std::ops,26,::std::ops::RangeToInclusive,::std::cmp::Ord,2677,8,5
3,::std::ops,27,::std::ops::RangeTo,::std::cmp::PartialEq,1879,4,2
3,::std::ops,28,::std::ops::RangeTo,::std::cmp::Eq,67,0,0
3,::std::ops,29,::std::ops::RangeTo,::std::cmp::PartialOrd,4909,14,9
3,::std::ops,30,::std::ops::RangeTo,::std::cmp::Ord,73477,8,5
3,::std::ops,31,::std::ops::Range,::std::cmp::PartialEq,1799,4,2
3,::std::ops,32,::std::ops::Range,::std::cmp::Eq,62,0,0
3,::std::ops,33,::std::ops::Range,::std::cmp::PartialOrd,5461,14,9
3,::std::ops,34,::std::ops::Range,::std::cmp::Ord,3435,8,5
3,::std::ops,35,::std::ops::RangeIter,::std::iter::Iterator,34030,66,34
3,::std::ops,36,::std::ops::RangeIter,::std::iter::Iterator,33964,66,34
3,::std::ops,37,::std::ops::RangeIter,::std::iter::Iterator,28669,66,34
3,::std::ops,38,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,3497,7,4
3,::std::ops,39,::std::ops::RangeIter,::std::iter::ExactSizeIterator,946,2,1
3,::std::ops,40,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,2592,7,4
3,::std::ops,41,::std::ops::RangeIter,::std::iter::ExactSizeIterator,780,2,1
3,::std::ops,42,::std::ops::RangeIter,::std::iter::DoubleEndedIterator,2572,7,4
3,::std::ops,43,::std::ops::ControlFlow,::std::cmp::PartialEq,60432,4,2
3,::std::ops,44,::std::ops::ControlFlow,::std::cmp::Eq,59,0,0
3,::std::ops,45,::std::ops::ControlFlow,::std::clone::Clone,1052,2,1
3,::std::ops,46,::std::ops::Function,::std::clone::Clone,929,2,1
4,::std::iter,0,::std::iter::Rev,::std::iter::Iterator,43793,66,34
4,::std::iter,1,::std::iter::Rev,::std::iter::DoubleEndedIterator,3237,7,4
4,::std::iter,2,::std::iter::Rev,::std::iter::ExactSizeIterator,811,2,1
4,::std::iter,3,::std::iter::Chain,::std::iter::Iterator,30008,66,34
4,::std::iter,4,::std::iter::Chain,::std::iter::DoubleEndedIterator,2866,7,4
4,::std::iter,5,::std::iter::Chain,::std::iter::ExactSizeIterator,801,2,1
4,::std::iter,6,::std::iter::Enumerate,::std::iter::Iterator,42377,66,34
4,::std::iter,7,::std::iter::Enumerate,::std::iter::DoubleEndedIterator,2732,7,4
4,::std::iter,8,::std::iter::Enumerate,::std::iter::ExactSizeIterator,818,2,1
4,::std::iter,9,::std::iter::Filter,::std::iter::Iterator,30316,66,34
4,::std::iter,10,::std::iter::Filter,::std::iter::DoubleEndedIterator,2776,7,4
4,::std::iter,11,::std::iter::Map,::std::iter::Iterator,32999,66,34
4,::std::iter,12,::std::iter::Map,::std::iter::DoubleEndedIterator,2748,7,4
4,::std::iter,13,::std::iter::Map,::std::iter::ExactSizeIterator,1662,2,1
4,::std::iter,14,::std::iter::FilterMap,::std::iter::Iterator,40689,67,35
4,::std::iter,15,::std::iter::FilterMap,::std::iter::DoubleEndedIterator,4962,7,4
4,::std::iter,16,::std::iter::FlatMap,::std::iter::Iterator,30782,66,34
