sample,module,stage,entries,ns,functions_added,metadata_added
25,::std::iter,reexports,0,38,0,0
25,::std::iter,construct,0,39,0,0
25,::std::ops,identity,1,76,0,0
25,::std::ops,module,1,664,0,1
25,::std::ops,types,17,18729,7,19
25,::std::ops,traits,0,36,0,0
25,::std::ops,items,5,3441,5,5
25,::std::ops,associated,86,20455,95,86
25,::std::ops,trait_impls,47,504518,808,434
25,::std::ops,reexports,2,890,0,2
25,::std::ops,construct,0,38,0,0
27,::std::iter,identity,1,423,0,0
27,::std::iter,module,1,2574,0,3
27,::std::iter,types,12,18902,0,12
27,::std::iter,traits,3,27355,0,38
27,::std::iter,items,3,3107,3,3
27,::std::iter,associated,43,10908,44,43
27,::std::iter,trait_impls,31,469265,891,464
27,::std::iter,reexports,0,39,0,0
27,::std::iter,construct,0,32,0,0
27,::std::ops,identity,1,94,0,0
27,::std::ops,module,1,652,0,1
27,::std::ops,types,17,18900,7,19
27,::std::ops,traits,0,44,0,0
27,::std::ops,items,5,3528,5,5
27,::std::ops,associated,86,21554,95,86
27,::std::ops,trait_impls,47,530121,808,434
27,::std::ops,reexports,2,898,0,2
27,::std::ops,construct,0,34,0,0
28,::std::iter,identity,1,1454,0,0
28,::std::iter,module,1,2507,0,3
28,::std::iter,types,12,20434,0,12
28,::std::iter,traits,3,27566,0,38
28,::std::iter,items,3,3007,3,3
28,::std::iter,associated,43,10981,44,43
28,::std::iter,trait_impls,31,467876,891,464
28,::std::iter,reexports,0,37,0,0
28,::std::iter,construct,0,42,0,0
28,::std::ops,identity,1,80,0,0
28,::std::ops,module,1,641,0,1
28,::std::ops,types,17,18716,7,19
28,::std::ops,traits,0,38,0,0
28,::std::ops,items,5,3478,5,5
28,::std::ops,associated,86,20499,95,86
28,::std::ops,trait_impls,47,519788,808,434
28,::std::ops,reexports,2,927,0,2
28,::std::ops,construct,0,36,0,0
31,::std::iter,identity,1,436,0,0
31,::std::iter,module,1,2605,0,3
31,::std::iter,types,12,19457,0,12
31,::std::iter,traits,3,28200,0,38
31,::std::iter,items,3,3089,3,3
31,::std::iter,associated,43,10992,44,43
31,::std::iter,trait_impls,31,467565,891,464
31,::std::iter,reexports,0,36,0,0
31,::std::iter,construct,0,38,0,0
31,::std::ops,identity,1,107,0,0
31,::std::ops,module,1,628,0,1
31,::std::ops,types,17,18963,7,19
31,::std::ops,traits,0,57,0,0
31,::std::ops,items,5,3525,5,5
31,::std::ops,associated,86,21782,95,86
31,::std::ops,trait_impls,47,504031,808,434
31,::std::ops,reexports,2,938,0,2
31,::std::ops,construct,0,29,0,0
33,::std::iter,identity,1,418,0,0
33,::std::iter,module,1,2533,0,3
33,::std::iter,types,12,24401,0,12
33,::std::iter,traits,3,28855,0,38
33,::std::iter,items,3,3142,3,3
33,::std::iter,associated,43,10802,44,43
33,::std::iter,trait_impls,31,464292,891,464
33,::std::iter,reexports,0,37,0,0
33,::std::iter,construct,0,36,0,0
33,::std::ops,identity,1,95,0,0
33,::std::ops,module,1,628,0,1
33,::std::ops,types,17,18766,7,19
33,::std::ops,traits,0,60,0,0
33,::std::ops,items,5,3551,5,5
33,::std::ops,associated,86,19718,95,86
33,::std::ops,trait_impls,47,499426,808,434
33,::std::ops,reexports,2,881,0,2
33,::std::ops,construct,0,32,0,0
35,::std::iter,identity,1,433,0,0
35,::std::iter,module,1,2617,0,3
35,::std::iter,types,12,19962,0,12
35,::std::iter,traits,3,27269,0,38
35,::std::iter,items,3,3103,3,3
35,::std::iter,associated,43,11034,44,43
35,::std::iter,trait_impls,31,473164,891,464
35,::std::iter,reexports,0,35,0,0
35,::std::iter,construct,0,38,0,0
35,::std::ops,identity,1,90,0,0
35,::std::ops,module,1,657,0,1
35,::std::ops,types,17,18564,7,19
35,::std::ops,traits,0,44,0,0
35,::std::ops,items,5,3481,5,5
35,::std::ops,associated,86,21835,95,86
35,::std::ops,trait_impls,47,503064,808,434
35,::std::ops,reexports,2,833,0,2
35,::std::ops,construct,0,34,0,0
39,::std::iter,identity,1,398,0,0
39,::std::iter,module,1,2588,0,3
39,::std::iter,types,12,18376,0,12
39,::std::iter,traits,3,27857,0,38
39,::std::iter,items,3,3010,3,3
39,::std::iter,associated,43,10711,44,43
39,::std::iter,trait_impls,31,468303,891,464
39,::std::iter,reexports,0,37,0,0
39,::std::iter,construct,0,36,0,0
39,::std::ops,identity,1,152,0,0
39,::std::ops,module,1,728,0,1
39,::std::ops,types,17,20278,7,19
39,::std::ops,traits,0,34,0,0
39,::std::ops,items,5,3451,5,5
39,::std::ops,associated,86,20264,95,86
39,::std::ops,trait_impls,47,499260,808,434
39,::std::ops,reexports,2,913,0,2
39,::std::ops,construct,0,34,0,0
40,::std::iter,identity,1,413,0,0
40,::std::iter,module,1,2721,0,3
40,::std::iter,types,12,20929,0,12
40,::std::iter,traits,3,27668,0,38
40,::std::iter,items,3,3050,3,3
40,::std::iter,associated,43,11748,44,43
40,::std::iter,trait_impls,31,474771,891,464
40,::std::iter,reexports,0,36,0,0
40,::std::iter,construct,0,36,0,0
40,::std::ops,identity,1,93,0,0
40,::std::ops,module,1,621,0,1
40,::std::ops,types,17,18605,7,19
40,::std::ops,traits,0,54,0,0
40,::std::ops,items,5,3483,5,5
40,::std::ops,associated,86,19766,95,86
40,::std::ops,trait_impls,47,501570,808,434
40,::std::ops,reexports,2,912,0,2
40,::std::ops,construct,0,33,0,0
41,::std::iter,identity,1,420,0,0
41,::std::iter,module,1,2608,0,3
41,::std::iter,types,12,20554,0,12
41,::std::iter,traits,3,29063,0,38
41,::std::iter,items,3,3069,3,3
41,::std::iter,associated,43,10856,44,43
41,::std::iter,trait_impls,31,468784,891,464
41,::std::iter,reexports,0,36,0,0
41,::std::iter,construct,0,39,0,0
41,::std::ops,identity,1,78,0,0
41,::std::ops,module,1,630,0,1
41,::std::ops,types,17,18485,7,19
41,::std::ops,traits,0,36,0,0
41,::std::ops,items,5,3331,5,5
41,::std::ops,associated,86,19943,95,86
41,::std::ops,trait_impls,47,498483,808,434
41,::std::ops,reexports,2,906,0,2
41,::std::ops,construct,0,38,0,0
42,::std::iter,identity,1,443,0,0
42,::std::iter,module,1,2585,0,3
42,::std::iter,types,12,19975,0,12
42,::std::iter,traits,3,27220,0,38
42,::std::iter,items,3,3071,3,3
42,::std::iter,associated,43,12627,44,43
42,::std::iter,trait_impls,31,467910,891,464
42,::std::iter,reexports,0,37,0,0
42,::std::iter,construct,0,38,0,0
42,::std::ops,identity,1,81,0,0
42,::std::ops,module,1,631,0,1
42,::std::ops,types,17,18562,7,19
42,::std::ops,traits,0,36,0,0
42,::std::ops,items,5,3349,5,5
42,::std::ops,associated,86,19900,95,86
42,::std::ops,trait_impls,47,503852,808,434
42,::std::ops,reexports,2,901,0,2
42,::std::ops,construct,0,34,0,0
48,::std::iter,identity,1,384,0,0
48,::std::iter,module,1,2626,0,3
48,::std::iter,types,12,20167,0,12
48,::std::iter,traits,3,27327,0,38
48,::std::iter,items,3,3094,3,3
48,::std::iter,associated,43,10762,44,43
48,::std::iter,trait_impls,31,465628,891,464
48,::std::iter,reexports,0,36,0,0
48,::std::iter,construct,0,42,0,0
48,::std::ops,identity,1,105,0,0
48,::std::ops,module,1,638,0,1
48,::std::ops,types,17,18821,7,19
48,::std::ops,traits,0,42,0,0
48,::std::ops,items,5,3385,5,5
48,::std::ops,associated,86,20021,95,86
48,::std::ops,trait_impls,47,505264,808,434
48,::std::ops,reexports,2,891,0,2
48,::std::ops,construct,0,35,0,0
49,::std::iter,identity,1,405,0,0
49,::std::iter,module,1,2643,0,3
49,::std::iter,types,12,19894,0,12
49,::std::iter,traits,3,29151,0,38
49,::std::iter,items,3,3025,3,3
49,::std::iter,associated,43,11160,44,43
49,::std::iter,trait_impls,31,469514,891,464
49,::std::iter,reexports,0,37,0,0
49,::std::iter,construct,0,36,0,0
49,::std::ops,identity,1,107,0,0
49,::std::ops,module,1,665,0,1
49,::std::ops,types,17,18709,7,19
49,::std::ops,traits,0,36,0,0
49,::std::ops,items,5,3341,5,5
49,::std::ops,associated,86,19847,95,86
49,::std::ops,trait_impls,47,502516,808,434
49,::std::ops,reexports,2,901,0,2
49,::std::ops,construct,0,34,0,0
50,::std::iter,identity,1,1500,0,0
50,::std::iter,module,1,7166,0,3
50,::std::iter,types,12,24721,0,12
50,::std::iter,traits,3,27542,0,38
50,::std::iter,items,3,3048,3,3
50,::std::iter,associated,43,12597,44,43
50,::std::iter,trait_impls,31,469269,891,464
50,::std::iter,reexports,0,37,0,0
50,::std::iter,construct,0,39,0,0
50,::std::ops,identity,1,91,0,0
50,::std::ops,module,1,664,0,1
50,::std::ops,types,17,18836,7,19
50,::std::ops,traits,0,34,0,0
50,::std::ops,items,5,3261,5,5
50,::std::ops,associated,86,19681,95,86
50,::std::ops,trait_impls,47,498328,808,434
50,::std::ops,reexports,2,960,0,2
50,::std::ops,construct,0,35,0,0
51,::std::iter,identity,1,422,0,0
51,::std::iter,module,1,3721,0,3
51,::std::iter,types,12,25468,0,12
51,::std::iter,traits,3,27595,0,38
51,::std::iter,items,3,3185,3,3
51,::std::iter,associated,43,11321,44,43
51,::std::iter,trait_impls,31,467976,891,464
51,::std::iter,reexports,0,36,0,0
51,::std::iter,construct,0,35,0,0
51,::std::ops,identity,1,91,0,0
51,::std::ops,module,1,646,0,1
51,::std::ops,types,17,20463,7,19
51,::std::ops,traits,0,43,0,0
51,::std::ops,items,5,3425,5,5
51,::std::ops,associated,86,19740,95,86
51,::std::ops,trait_impls,47,501487,808,434
51,::std::ops,reexports,2,907,0,2
51,::std::ops,construct,0,35,0,0
55,::std::iter,identity,1,456,0,0
55,::std::iter,module,1,2799,0,3
55,::std::iter,types,12,22286,0,12
55,::std::iter,traits,3,27957,0,38
55,::std::iter,items,3,3213,3,3
55,::std::iter,associated,43,11116,44,43
55,::std::iter,trait_impls,31,482173,891,464
55,::std::iter,reexports,0,35,0,0
55,::std::iter,construct,0,34,0,0
55,::std::ops,identity,1,98,0,0
55,::std::ops,module,1,645,0,1
55,::std::ops,types,17,20631,7,19
55,::std::ops,traits,0,37,0,0
55,::std::ops,items,5,3528,5,5
55,::std::ops,associated,86,20164,95,86
55,::std::ops,trait_impls,47,509535,808,434
55,::std::ops,reexports,2,914,0,2
55,::std::ops,construct,0,31,0,0
56,::std::iter,identity,1,418,0,0
56,::std::iter,module,1,2614,0,3
56,::std::iter,types,12,19931,0,12
56,::std::iter,traits,3,27342,0,38
56,::std::iter,items,3,3114,3,3
56,::std::iter,associated,43,10908,44,43
56,::std::iter,trait_impls,31,466263,891,464
56,::std::iter,reexports,0,37,0,0
56,::std::iter,construct,0,37,0,0
56,::std::ops,identity,1,85,0,0
56,::std::ops,module,1,637,0,1
56,::std::ops,types,17,18633,7,19
56,::std::ops,traits,0,39,0,0
56,::std::ops,items,5,3340,5,5
56,::std::ops,associated,86,20038,95,86
56,::std::ops,trait_impls,47,503753,808,434
56,::std::ops,reexports,2,899,0,2
56,::std::ops,construct,0,32,0,0
59,::std::iter,identity,1,428,0,0
59,::std::iter,module,1,2656,0,3
59,::std::iter,types,12,20599,0,12
59,::std::iter,traits,3,27389,0,38
59,::std::iter,items,3,3102,3,3
59,::std::iter,associated,43,14276,44,43
59,::std::iter,trait_impls,31,466512,891,464
59,::std::iter,reexports,0,39,0,0
59,::std::iter,construct,0,36,0,0
59,::std::ops,identity,1,165,0,0
59,::std::ops,module,1,680,0,1
59,::std::ops,types,17,18719,7,19
59,::std::ops,traits,0,56,0,0
59,::std::ops,items,5,3426,5,5
59,::std::ops,associated,86,19698,95,86
59,::std::ops,trait_impls,47,498757,808,434
59,::std::ops,reexports,2,921,0,2
59,::std::ops,construct,0,34,0,0
60,::std::iter,identity,1,419,0,0
60,::std::iter,module,1,2623,0,3
60,::std::iter,types,12,18768,0,12
60,::std::iter,traits,3,27165,0,38
60,::std::iter,items,3,3172,3,3
60,::std::iter,associated,43,15810,44,43
60,::std::iter,trait_impls,31,466608,891,464
60,::std::iter,reexports,0,35,0,0
60,::std::iter,construct,0,39,0,0
60,::std::ops,identity,1,110,0,0
60,::std::ops,module,1,625,0,1
60,::std::ops,types,17,18701,7,19
60,::std::ops,traits,0,53,0,0
60,::std::ops,items,5,3371,5,5
60,::std::ops,associated,86,21776,95,86
60,::std::ops,trait_impls,47,497400,808,434
60,::std::ops,reexports,2,889,0,2
60,::std::ops,construct,0,33,0,0
62,::std::iter,identity,1,404,0,0
62,::std::iter,module,1,2681,0,3
62,::std::iter,types,12,19594,0,12
62,::std::iter,traits,3,28906,0,38
62,::std::iter,items,3,3069,3,3
62,::std::iter,associated,43,10991,44,43
62,::std::iter,trait_impls,31,466174,891,464
62,::std::iter,reexports,0,38,0,0
62,::std::iter,construct,0,34,0,0
62,::std::ops,identity,1,90,0,0
62,::std::ops,module,1,709,0,1
62,::std::ops,types,17,18982,7,19
62,::std::ops,traits,0,36,0,0
62,::std::ops,items,5,3455,5,5
62,::std::ops,associated,86,19768,95,86
62,::std::ops,trait_impls,47,497095,808,434
62,::std::ops,reexports,2,889,0,2
62,::std::ops,construct,0,33,0,0
63,::std::iter,identity,1,425,0,0
63,::std::iter,module,1,2622,0,3
63,::std::iter,types,12,18883,0,12
63,::std::iter,traits,3,27304,0,38
63,::std::iter,items,3,3079,3,3
63,::std::iter,associated,43,11116,44,43
63,::std::iter,trait_impls,31,479851,891,464
63,::std::iter,reexports,0,37,0,0
63,::std::iter,construct,0,37,0,0
63,::std::ops,identity,1,107,0,0
63,::std::ops,module,1,660,0,1
63,::std::ops,types,17,18829,7,19
63,::std::ops,traits,0,48,0,0
63,::std::ops,items,5,3437,5,5
63,::std::ops,associated,86,19931,95,86
63,::std::ops,trait_impls,47,501844,808,434
63,::std::ops,reexports,2,975,0,2
63,::std::ops,construct,0,32,0,0
64,::std::iter,identity,1,404,0,0
64,::std::iter,module,1,2592,0,3
64,::std::iter,types,12,18744,0,12
64,::std::iter,traits,3,27157,0,38
64,::std::iter,items,3,3035,3,3
64,::std::iter,associated,43,11109,44,43
64,::std::iter,trait_impls,31,467516,891,464
64,::std::iter,reexports,0,38,0,0
64,::std::iter,construct,0,33,0,0
64,::std::ops,identity,1,122,0,0
64,::std::ops,module,1,729,0,1
64,::std::ops,types,17,18756,7,19
64,::std::ops,traits,0,56,0,0
64,::std::ops,items,5,3422,5,5
64,::std::ops,associated,86,21696,95,86
64,::std::ops,trait_impls,47,501425,808,434
64,::std::ops,reexports,2,854,0,2
64,::std::ops,construct,0,31,0,0
66,::std::iter,identity,1,396,0,0
66,::std::iter,module,1,2549,0,3
66,::std::iter,types,12,20834,0,12
66,::std::iter,traits,3,29062,0,38
66,::std::iter,items,3,3077,3,3
66,::std::iter,associated,43,10920,44,43
66,::std::iter,trait_impls,31,467728,891,464
66,::std::iter,reexports,0,37,0,0
66,::std::iter,construct,0,42,0,0
66,::std::ops,identity,1,160,0,0
66,::std::ops,module,1,621,0,1
66,::std::ops,types,17,18868,7,19
66,::std::ops,traits,0,57,0,0
66,::std::ops,items,5,3517,5,5
66,::std::ops,associated,86,20277,95,86
66,::std::ops,trait_impls,47,500375,808,434
66,::std::ops,reexports,2,954,0,2
66,::std::ops,construct,0,36,0,0
67,::std::iter,identity,1,415,0,0
67,::std::iter,module,1,2627,0,3
67,::std::iter,types,12,20042,0,12
67,::std::iter,traits,3,27909,0,38
67,::std::iter,items,3,3083,3,3
67,::std::iter,associated,43,12656,44,43
67,::std::iter,trait_impls,31,468676,891,464
67,::std::iter,reexports,0,39,0,0
67,::std::iter,construct,0,34,0,0
67,::std::ops,identity,1,82,0,0
67,::std::ops,module,1,687,0,1
67,::std::ops,types,17,18783,7,19
67,::std::ops,traits,0,37,0,0
67,::std::ops,items,5,3473,5,5
67,::std::ops,associated,86,20464,95,86
67,::std::ops,trait_impls,47,501343,808,434
67,::std::ops,reexports,2,952,0,2
67,::std::ops,construct,0,32,0,0
68,::std::iter,identity,1,1489,0,0
68,::std::iter,module,1,2623,0,3
68,::std::iter,types,12,18649,0,12
68,::std::iter,traits,3,27243,0,38
68,::std::iter,items,3,3123,3,3
68,::std::iter,associated,43,10883,44,43
68,::std::iter,trait_impls,31,471172,891,464
68,::std::iter,reexports,0,37,0,0
68,::std::iter,construct,0,40,0,0
68,::std::ops,identity,1,84,0,0
68,::std::ops,module,1,642,0,1
68,::std::ops,types,17,20515,7,19
68,::std::ops,traits,0,58,0,0
68,::std::ops,items,5,3419,5,5
68,::std::ops,associated,86,20062,95,86
68,::std::ops,trait_impls,47,497343,808,434
68,::std::ops,reexports,2,863,0,2
68,::std::ops,construct,0,31,0,0
69,::std::iter,identity,1,421,0,0
69,::std::iter,module,1,2576,0,3
69,::std::iter,types,12,19536,0,12
69,::std::iter,traits,3,27925,0,38
69,::std::iter,items,3,3043,3,3
69,::std::iter,associated,43,10755,44,43
69,::std::iter,trait_impls,31,468417,891,464
69,::std::iter,reexports,0,36,0,0
69,::std::iter,construct,0,37,0,0
69,::std::ops,identity,1,114,0,0
69,::std::ops,module,1,575,0,1
69,::std::ops,types,17,18640,7,19
69,::std::ops,traits,0,36,0,0
69,::std::ops,items,5,3424,5,5
69,::std::ops,associated,86,20112,95,86
69,::std::ops,trait_impls,47,499134,808,434
69,::std::ops,reexports,2,948,0,2
69,::std::ops,construct,0,34,0,0
70,::std::iter,identity,1,1458,0,0
70,::std::iter,module,1,2664,0,3
70,::std::iter,types,12,18728,0,12
70,::std::iter,traits,3,34772,0,38
70,::std::iter,items,3,3004,3,3
70,::std::iter,associated,43,10949,44,43
70,::std::iter,trait_impls,31,468577,891,464
70,::std::iter,reexports,0,37,0,0
70,::std::iter,construct,0,38,0,0
70,::std::ops,identity,1,104,0,0
70,::std::ops,module,1,620,0,1
70,::std::ops,types,17,18726,7,19
70,::std::ops,traits,0,41,0,0
70,::std::ops,items,5,3462,5,5
70,::std::ops,associated,86,20188,95,86
70,::std::ops,trait_impls,47,498137,808,434
70,::std::ops,reexports,2,916,0,2
70,::std::ops,construct,0,34,0,0
72,::std::iter,identity,1,1468,0,0
72,::std::iter,module,1,2621,0,3
72,::std::iter,types,12,23491,0,12
72,::std::iter,traits,3,27438,0,38
72,::std::iter,items,3,3044,3,3
72,::std::iter,associated,43,10896,44,43
72,::std::iter,trait_impls,31,468619,891,464
72,::std::iter,reexports,0,38,0,0
72,::std::iter,construct,0,37,0,0
72,::std::ops,identity,1,155,0,0
72,::std::ops,module,1,676,0,1
72,::std::ops,types,17,20184,7,19
72,::std::ops,traits,0,41,0,0
72,::std::ops,items,5,3393,5,5
72,::std::ops,associated,86,20303,95,86
72,::std::ops,trait_impls,47,503829,808,434
72,::std::ops,reexports,2,894,0,2
72,::std::ops,construct,0,32,0,0
73,::std::iter,identity,1,415,0,0
73,::std::iter,module,1,2589,0,3
73,::std::iter,types,12,18373,0,12
73,::std::iter,traits,3,31992,0,38
73,::std::iter,items,3,2984,3,3
73,::std::iter,associated,43,10920,44,43
73,::std::iter,trait_impls,31,465004,891,464
73,::std::iter,reexports,0,36,0,0
73,::std::iter,construct,0,39,0,0
73,::std::ops,identity,1,83,0,0
73,::std::ops,module,1,630,0,1
73,::std::ops,types,17,18556,7,19
73,::std::ops,traits,0,42,0,0
73,::std::ops,items,5,3466,5,5
73,::std::ops,associated,86,20168,95,86
73,::std::ops,trait_impls,47,503258,808,434
73,::std::ops,reexports,2,925,0,2
73,::std::ops,construct,0,32,0,0
77,::std::iter,identity,1,392,0,0
77,::std::iter,module,1,2585,0,3
77,::std::iter,types,12,20056,0,12
77,::std::iter,traits,3,27687,0,38
77,::std::iter,items,3,3034,3,3
77,::std::iter,associated,43,10772,44,43
