iteration,nanoseconds,characters,bytes
799,30779,10000,10639
800,31301,10000,10639
801,31139,10000,10639
802,31103,10000,10639
803,31588,10000,10639
804,32842,10000,10639
805,30778,10000,10639
806,30915,10000,10639
807,31421,10000,10639
808,30648,10000,10639
809,31789,10000,10639
810,30692,10000,10639
811,31257,10000,10639
812,30786,10000,10639
813,32442,10000,10639
814,31433,10000,10639
815,30726,10000,10639
816,31186,10000,10639
817,31841,10000,10639
818,32119,10000,10639
819,31350,10000,10639
820,31149,10000,10639
821,31067,10000,10639
822,31140,10000,10639
823,31575,10000,10639
824,31348,10000,10639
825,30880,10000,10639
826,31626,10000,10639
827,31037,10000,10639
828,31746,10000,10639
829,30977,10000,10639
830,30440,10000,10639
831,31206,10000,10639
832,31332,10000,10639
833,30346,10000,10639
834,30538,10000,10639
835,32265,10000,10639
836,30733,10000,10639
837,31033,10000,10639
838,30552,10000,10639
839,31032,10000,10639
840,31399,10000,10639
841,31401,10000,10639
842,30987,10000,10639
843,30775,10000,10639
844,30599,10000,10639
845,30834,10000,10639
846,31428,10000,10639
847,31011,10000,10639
848,30811,10000,10639
849,31222,10000,10639
850,31400,10000,10639
851,30867,10000,10639
852,31375,10000,10639
853,31161,10000,10639
854,30353,10000,10639
855,31276,10000,10639
856,31107,10000,10639
857,31287,10000,10639
858,30741,10000,10639
859,30863,10000,10639
860,31090,10000,10639
861,31553,10000,10639
862,30440,10000,10639
863,31439,10000,10639
864,30950,10000,10639
865,31082,10000,10639
866,36078,10000,10639
867,30582,10000,10639
868,30847,10000,10639
869,30771,10000,10639
870,30778,10000,10639
871,30993,10000,10639
872,30716,10000,10639
873,30933,10000,10639
874,31264,10000,10639
875,31144,10000,10639
876,31373,10000,10639
877,31390,10000,10639
878,31397,10000,10639
879,30677,10000,10639
880,30957,10000,10639
881,31376,10000,10639
882,31075,10000,10639
883,30787,10000,10639
884,30904,10000,10639
885,30815,10000,10639
886,30888,10000,10639
887,31034,10000,10639
888,31442,10000,10639
889,31394,10000,10639
890,31019,10000,10639
891,31179,10000,10639
892,31425,10000,10639
893,31351,10000,10639
894,31316,10000,10639
895,31443,10000,10639
896,562209,10000,10639
897,31311,10000,10639
898,31497,10000,10639
899,31653,10000,10639
900,31508,10000,10639
901,31507,10000,10639
902,31533,10000,10639
903,31602,10000,10639
904,36346,10000,10639
905,32264,10000,10639
906,32275,10000,10639
907,31551,10000,10639
908,32122,10000,10639
909,31807,10000,10639
910,33707,10000,10639
911,31406,10000,10639
912,31760,10000,10639
913,31641,10000,10639
914,31334,10000,10639
915,30635,10000,10639
916,31396,10000,10639
917,31265,10000,10639
918,31782,10000,10639
919,32157,10000,10639
920,31410,10000,10639
921,31218,10000,10639
922,31939,10000,10639
923,31529,10000,10639
924,32141,10000,10639
925,31512,10000,10639
926,31451,10000,10639
927,31250,10000,10639
928,31283,10000,10639
929,31427,10000,10639
930,31767,10000,10639
931,31590,10000,10639
932,31965,10000,10639
933,31907,10000,10639
934,31651,10000,10639
935,32121,10000,10639
936,31127,10000,10639
937,32165,10000,10639
938,31638,10000,10639
939,32397,10000,10639
940,31759,10000,10639
941,33151,10000,10639
942,31471,10000,10639
943,32469,10000,10639
944,32109,10000,10639
945,31500,10000,10639
946,31583,10000,10639
947,30871,10000,10639
948,30999,10000,10639
949,31787,10000,10639
950,30952,10000,10639
951,32011,10000,10639
952,32043,10000,10639
953,31651,10000,10639
954,31383,10000,10639
955,31386,10000,10639
956,31912,10000,10639
957,31890,10000,10639
958,32006,10000,10639
959,31809,10000,10639
960,31149,10000,10639
961,31358,10000,10639
962,31286,10000,10639
963,31942,10000,10639
964,31440,10000,10639
965,31153,10000,10639
966,30897,10000,10639
967,31552,10000,10639
968,31694,10000,10639
969,31327,10000,10639
970,31320,10000,10639
971,33354,10000,10639
972,31389,10000,10639
973,31236,10000,10639
974,32125,10000,10639
975,31670,10000,10639
976,30990,10000,10639
977,31749,10000,10639
978,31036,10000,10639
979,31696,10000,10639
980,31550,10000,10639
981,31847,10000,10639
982,31294,10000,10639
983,31348,10000,10639
984,31509,10000,10639
985,31564,10000,10639
986,31653,10000,10639
987,31222,10000,10639
988,31889,10000,10639
989,31230,10000,10639
990,32358,10000,10639
991,31843,10000,10639
992,32744,10000,10639
993,31481,10000,10639
994,31600,10000,10639
995,31792,10000,10639
996,30968,10000,10639
997,31809,10000,10639
998,31635,10000,10639
999,30821,10000,10639
