sample,module,build_ns,install_ns,drop_ns
10,option,7723,104792,900
10,result,4829,21429,614
10,stream,1731,4041,254
10,test,1958,4583,246
10,vec,6245,25363,669
10,slice,1877,30536,290
13,iter,55573,530251,3086
13,core,4009,10732,427
13,cmp,4863,15721,636
13,any,1754,3816,292
13,clone,2262,2719,237
13,num,3260,2262,185
13,hash,531,1375,141
13,string,12851,176816,1528
13,bytes,6493,33889,749
13,collections,1319,2251,276
13,collections::hash_map,10816,139147,820
13,collections::hash_set,9916,217338,865
13,collections::vec_deque,6662,68466,877
13,char,2226,9214,332
13,f64,9920,32460,949
13,tuple,4011,17349,419
13,fmt,5158,6404,342
13,future,979,2582,209
13,i64,8637,61043,825
13,u64,5799,24601,623
13,io,3042,4623,384
13,macros,209,600,154
13,macros::builtin,1290,2387,190
13,mem,2106,8033,317
13,object,7771,105644,979
13,ops,42673,541626,4006
13,ops::generator,5194,46007,632
13,option,7605,102477,943
13,result,4637,21373,619
13,stream,1722,4046,258
13,test,2019,4372,298
13,vec,5738,25653,722
13,slice,1894,30497,278
18,iter,52686,538252,2852
18,core,3952,10746,368
18,cmp,4614,15786,566
18,any,3085,3812,287
18,clone,2217,2609,196
18,num,2076,2337,166
18,hash,500,1383,129
18,string,12979,176256,1482
18,bytes,6626,33906,789
18,collections,1382,2170,252
18,collections::hash_map,11373,133888,802
18,collections::hash_set,9880,222422,976
18,collections::vec_deque,7059,74680,794
18,char,2286,9423,326
18,f64,10525,33073,989
18,tuple,3895,17829,436
18,fmt,5185,6296,320
18,future,1017,2589,208
18,i64,8487,60740,798
18,u64,5971,25080,631
18,io,3278,4698,357
18,macros,201,633,114
18,macros::builtin,1253,2458,171
18,mem,2134,8225,299
18,object,7955,110903,1041
18,ops,45942,539974,3995
18,ops::generator,5431,73302,582
18,option,8413,106321,890
18,result,4739,21539,634
18,stream,1724,4139,249
18,test,2080,4623,299
18,vec,5859,25104,650
18,slice,1939,30975,276
19,iter,45041,536655,2916
19,core,3971,10576,439
19,cmp,4439,15967,648
19,any,2947,3732,305
19,clone,1148,2503,226
19,num,1828,2199,197
19,hash,543,1489,185
19,string,12375,175974,1560
19,bytes,5993,33432,738
19,collections,1304,2178,273
19,collections::hash_map,9214,134727,793
19,collections::hash_set,9920,207268,847
19,collections::vec_deque,6982,78033,860
19,char,2240,9534,331
19,f64,9864,32653,993
19,tuple,3725,17621,432
19,fmt,5296,6392,348
19,future,972,2599,201
19,i64,8724,60320,855
19,u64,5675,24449,624
19,io,3203,4745,348
19,macros,170,610,137
19,macros::builtin,1281,2319,186
19,mem,2134,8007,325
19,object,7733,104478,913
19,ops,45124,535696,4139
19,ops::generator,6879,45446,612
19,option,30614,106062,942
19,result,5029,21294,601
19,stream,1713,4097,274
19,test,2105,4558,285
19,vec,6441,25271,678
19,slice,1871,30547,285
20,iter,45639,539685,2899
20,core,3960,10802,424
20,cmp,4752,15875,598
20,any,1726,3774,254
20,clone,2371,2569,197
20,num,2705,2261,180
20,hash,540,1470,156
20,string,12261,174068,1532
20,bytes,6477,35465,733
20,collections,1371,2216,269
20,collections::hash_map,9891,132785,832
20,collections::hash_set,11826,210021,817
20,collections::vec_deque,6905,71800,998
20,char,2965,12243,370
20,f64,10278,34258,964
20,tuple,3745,17786,438
20,fmt,4937,6395,318
20,future,969,2699,175
20,i64,8899,60537,885
20,u64,5680,24283,573
20,io,3131,4572,357
20,macros,189,613,126
20,macros::builtin,2267,2456,178
20,mem,2128,8055,323
20,object,7831,104084,916
20,ops,44832,536571,4172
20,ops::generator,5256,45791,619
20,option,7985,125105,862
20,result,4893,21293,596
20,stream,1764,4078,314
20,test,2104,4477,302
20,vec,5975,24913,737
20,slice,1876,30715,268
22,iter,47392,534380,2976
22,core,4136,11002,428
22,cmp,4627,15925,634
22,any,2920,3923,292
22,clone,2209,2589,241
22,num,2093,2312,180
22,hash,531,1484,148
22,string,12008,175397,1526
22,bytes,6766,33429,729
22,collections,1358,2253,248
22,collections::hash_map,11875,134256,803
22,collections::hash_set,10039,208406,842
22,collections::vec_deque,7361,67176,891
22,char,2401,9365,298
22,f64,10003,32765,989
22,tuple,3739,17819,413
22,fmt,5129,6620,347
22,future,962,2598,198
22,i64,8489,71557,881
22,u64,6121,24693,683
22,io,3220,4716,384
22,macros,161,621,133
22,macros::builtin,2304,2366,177
22,mem,2301,8117,319
22,object,8239,106329,1024
22,ops,42916,535965,4046
22,ops::generator,5383,45380,563
22,option,8678,103184,865
22,result,4886,39036,667
22,stream,1789,4118,292
22,test,2287,4608,265
22,vec,6145,25278,706
22,slice,1867,30773,277
25,iter,48238,535813,2999
25,core,4073,10710,470
25,cmp,4442,15742,642
25,any,3217,3861,299
25,clone,2282,2528,251
25,num,2019,2269,195
25,hash,548,1483,145
25,string,12169,175178,1501
25,bytes,6829,35048,805
25,collections,1394,2289,284
25,collections::hash_map,10693,132685,850
25,collections::hash_set,9718,209583,858
25,collections::vec_deque,6677,67541,901
25,char,2263,9282,327
25,f64,13360,34032,956
25,tuple,3970,17803,424
25,fmt,5295,6466,296
25,future,939,2627,205
25,i64,8749,65833,784
25,u64,6017,24522,677
25,io,3156,4580,393
25,macros,190,595,148
25,macros::builtin,1272,2279,173
25,mem,2078,7907,294
25,object,8236,104163,907
25,ops,44825,534356,4054
25,ops::generator,5539,45038,635
25,option,8259,110671,863
25,result,5078,21217,693
25,stream,1736,3978,289
25,test,2159,4508,295
25,vec,6209,24987,713
25,slice,1890,30406,281
27,iter,45383,537491,3041
27,core,3950,10810,404
27,cmp,4531,15943,621
27,any,1726,3867,291
27,clone,2233,2718,215
27,num,1924,2357,165
27,hash,581,1429,166
27,string,11823,174642,1507
27,bytes,6143,33584,752
27,collections,1299,2227,239
27,collections::hash_map,10629,134270,856
27,collections::hash_set,9486,209134,994
27,collections::vec_deque,7581,67840,955
27,char,2354,9085,342
27,f64,10404,32735,963
27,tuple,3840,17571,467
27,fmt,5052,6410,355
27,future,975,6280,221
27,i64,8688,62350,907
27,u64,5884,30383,756
27,io,3296,4832,381
27,macros,208,617,137
27,macros::builtin,1240,2348,174
27,mem,2154,7897,305
27,object,8002,105689,973
27,ops,43810,535096,4161
27,ops::generator,5215,45362,641
27,option,7916,102755,855
27,result,8382,21314,592
27,stream,1729,4055,283
27,test,1899,4448,278
27,vec,6054,25485,753
27,slice,1874,30502,315
28,iter,45140,546998,2904
28,core,3964,11240,410
28,cmp,4554,16041,661
28,any,1764,4012,302
28,clone,1133,2613,228
28,num,1966,2290,204
28,hash,563,1512,175
28,string,12609,178653,1583
28,bytes,6345,34360,767
28,collections,1309,2222,296
28,collections::hash_map,9160,136688,817
28,collections::hash_set,9443,212939,866
28,collections::vec_deque,7390,68511,921
28,char,2156,9412,336
28,f64,9775,33065,996
28,tuple,3744,18097,498
28,fmt,4922,9491,363
28,future,954,2763,223
28,i64,8586,62008,853
28,u64,6018,31680,690
28,io,3257,4818,399
28,macros,212,683,141
28,macros::builtin,1245,2459,195
28,mem,2214,8088,375
28,object,7983,106477,946
28,ops,43033,538852,4248
28,ops::generator,5473,47977,584
28,option,8328,129851,986
28,result,4973,21951,604
28,stream,1729,4232,293
28,test,2101,4601,304
28,vec,5913,25532,721
28,slice,2034,30998,304
31,iter,47567,559300,2896
31,core,4096,10797,393
31,cmp,4854,15871,617
31,any,1760,3962,266
31,clone,2288,2632,232
31,num,3286,2264,153
31,hash,537,1477,152
31,string,12614,177269,1445
31,bytes,6543,33473,767
31,collections,1310,2221,296
31,collections::hash_map,11375,135839,866
31,collections::hash_set,10020,209701,864
31,collections::vec_deque,7230,67916,861
31,char,2216,9674,295
31,f64,9991,38718,894
31,tuple,3686,18066,445
31,fmt,5293,6373,305
31,future,953,2617,204
31,i64,8640,61166,872
31,u64,5950,24953,601
31,io,3184,4668,333
31,macros,191,645,163
31,macros::builtin,1334,2534,184
31,mem,2137,7952,317
31,object,7670,106789,957
31,ops,42742,539026,4006
31,ops::generator,5373,46318,564
31,option,8143,109550,898
31,result,5044,21714,612
31,stream,1674,4182,287
31,test,1962,4362,251
31,vec,5916,25695,699
31,slice,1826,31078,258
33,iter,47772,553473,2920
33,core,3986,10878,453
33,cmp,4846,15845,610
33,any,3019,3890,298
33,clone,2318,2596,219
33,num,2011,2322,198
33,hash,495,1497,159
33,string,12016,176446,1494
33,bytes,6519,33148,766
33,collections,1474,2132,269
33,collections::hash_map,11121,134668,889
33,collections::hash_set,9754,209745,852
33,collections::vec_deque,6949,67138,767
33,char,2384,9594,316
33,f64,9836,32701,999
33,tuple,4089,17663,408
33,fmt,5164,6457,4233
33,future,952,2775,212
33,i64,8563,61546,871
33,u64,6342,24762,659
33,io,3088,4686,330
33,macros,185,593,145
33,macros::builtin,1325,2322,183
33,mem,2079,8134,291
33,object,8309,105442,1000
33,ops,43251,541742,4053
33,ops::generator,5222,47128,563
33,option,7641,107871,1162
33,result,5626,21529,600
33,stream,1715,4142,244
33,test,1960,4547,232
33,vec,5848,25436,645
33,slice,2020,30676,271
35,iter,47131,530088,2939
35,core,3975,31882,480
35,cmp,4767,15845,636
35,any,3015,3998,278
35,clone,2302,2626,217
35,num,2113,2289,189
35,hash,550,1496,174
35,string,12393,175764,1408
35,bytes,6052,33291,802
35,collections,1346,2208,237
35,collections::hash_map,12085,133954,751
35,collections::hash_set,9574,207252,782
35,collections::vec_deque,6620,69436,857
35,char,2229,9391,286
35,f64,9975,32356,962
35,tuple,3665,17422,441
35,fmt,5004,6322,383
35,future,906,2673,196
35,i64,8373,59583,854
35,u64,5904,24767,627
35,io,3110,4455,365
35,macros,169,649,141
35,macros::builtin,2472,2539,156
35,mem,2155,7707,302
35,object,8005,107579,892
35,ops,45098,534848,4021
35,ops::generator,5414,45423,575
35,option,8476,104392,861
35,result,4720,21148,583
35,stream,1733,4105,260
35,test,2272,4561,247
35,vec,6407,25200,741
35,slice,1854,30451,257
39,iter,56990,532211,2884
39,core,4139,10664,429
39,cmp,4531,15967,673
39,any,2869,3741,293
39,clone,2230,2646,250
39,num,1911,2386,168
39,hash,549,1431,153
39,string,13097,176567,1450
39,bytes,6788,33273,765
39,collections,1323,2275,277
39,collections::hash_map,10970,158485,939
39,collections::hash_set,10314,208533,865
39,collections::vec_deque,6674,67578,835
39,char,2426,9382,311
39,f64,9875,31853,937
39,tuple,3904,17795,463
39,fmt,5318,6395,359
39,future,967,2621,184
39,i64,8652,60116,817
39,u64,6151,24482,624
39,io,3024,4564,367
39,macros,191,619,156
39,macros::builtin,1276,2390,178
39,mem,2113,7937,321
39,object,8046,104428,940
39,ops,44377,538060,4172
39,ops::generator,5476,45310,572
39,option,7822,104454,912
39,result,4954,21352,596
39,stream,1729,4150,251
39,test,2052,4507,300
39,vec,6303,25094,745
39,slice,1902,31642,253
40,iter,52720,535093,2907
40,core,4011,10679,358
40,cmp,4684,15851,659
40,any,1719,3896,290
40,clone,2257,2617,229
40,num,3203,2291,161
40,hash,568,1449,152
40,string,12553,175326,1534
40,bytes,6728,33222,796
40,collections,1361,2258,262
40,collections::hash_map,11018,133563,821
40,collections::hash_set,9469,213111,907
40,collections::vec_deque,6989,66367,816
40,char,2395,9357,304
40,f64,11498,32201,923
40,tuple,4023,17800,439
40,fmt,5289,6430,323
40,future,940,2658,182
40,i64,9063,60735,796
40,u64,6094,24468,665
40,io,3113,4669,389
40,macros,185,634,147
40,macros::builtin,1329,2389,188
40,mem,2067,8059,309
40,object,8302,103957,923
40,ops,44891,537122,4082
40,ops::generator,5512,46116,577
40,option,8099,104643,923
40,result,5021,21182,594
40,stream,1756,4132,292
40,test,2135,4190,276
40,vec,6603,25302,749
40,slice,1892,31137,263
41,iter,46588,539069,2851
41,core,4109,10672,366
41,cmp,4623,15805,599
41,any,3018,3851,294
41,clone,2244,2679,218
41,num,2133,2235,184
41,hash,577,1435,149
41,string,12578,173499,1417
41,bytes,6673,33695,720
41,collections,1412,2184,240
41,collections::hash_map,12678,132876,828
41,collections::hash_set,9843,232291,901
41,collections::vec_deque,7162,67609,799
41,char,2425,9320,269
41,f64,9864,33852,933
41,tuple,3647,17725,462
41,fmt,5203,6377,332
41,future,973,2674,181
41,i64,9255,60761,828
41,u64,5853,24539,643
41,io,3124,4623,329
41,macros,199,590,167
41,macros::builtin,1256,2369,181
41,mem,2099,8030,279
41,object,7835,103656,1023
41,ops,44581,541292,3917
41,ops::generator,5385,45454,559
41,option,7786,104385,875
41,result,4930,21539,622
41,stream,1734,4090,258
41,test,1980,4399,268
41,vec,5819,25848,722
41,slice,1870,30765,262
42,iter,46289,542346,2813
42,core,3963,10917,454
42,cmp,4557,15683,647
42,any,1677,3942,287
42,clone,1099,2647,251
42,num,2010,2297,191
42,hash,549,1450,165
42,string,12096,174902,1581
42,bytes,6255,33747,686
42,collections,1373,2162,287
42,collections::hash_map,9222,134183,879
42,collections::hash_set,9722,212815,905
42,collections::vec_deque,7489,66722,836
42,char,2200,9323,333
42,f64,10104,32401,976
42,tuple,3693,17670,457
42,fmt,5020,6286,340
42,future,944,2674,180
42,i64,9947,60724,825
42,u64,5968,24141,702
42,io,3061,4625,376
42,macros,169,646,160
42,macros::builtin,1289,2362,200
42,mem,2145,7910,344
42,object,7872,104046,1009
42,ops,43237,543262,4095
42,ops::generator,5295,44938,609
42,option,7794,102835,889
42,result,5082,22808,600
42,stream,1790,4180,282
42,test,1957,4361,309
42,vec,5856,25445,683
42,slice,1970,30606,300
48,iter,44380,533944,2834
48,core,3897,10521,364
48,cmp,4647,15699,598
48,any,1685,3782,286
48,clone,1073,2475,207
48,num,1952,2250,162
48,hash,547,1430,133
48,string,12597,180375,1415
48,bytes,6978,33727,743
48,collections,1437,2321,290
48,collections::hash_map,9188,133583,787
48,collections::hash_set,9710,208207,796
48,collections::vec_deque,6893,67188,822
48,char,2307,9204,300
48,f64,10153,32704,950
48,tuple,3618,17498,455
48,fmt,4924,6380,312
48,future,982,2661,183
48,i64,8938,60883,771
48,u64,6293,24721,622
48,io,3075,4651,354
48,macros,193,615,137
48,macros::builtin,1204,2398,168
48,mem,2161,7951,293
48,object,8161,105172,931
48,ops,45245,538838,3961
48,ops::generator,5481,45497,576
48,option,8030,102806,909
48,result,4996,21208,598
48,stream,1672,4031,251
48,test,2059,4510,265
48,vec,6218,24995,691
48,slice,1939,30545,271
49,iter,44754,527754,2818
49,core,3913,10670,401
49,cmp,5456,15722,631
49,any,1683,3876,300
49,clone,1120,2555,221
49,num,1949,2357,188
49,hash,549,1440,134
49,string,12370,180650,1543
49,bytes,6822,33593,741
49,collections,1419,2183,246
49,collections::hash_map,9698,134529,764
49,collections::hash_set,9881,208379,862
49,collections::vec_deque,6619,66763,861
49,char,2087,9442,330
49,f64,9941,32010,978
49,tuple,4021,17724,465
49,fmt,4930,6545,352
49,future,929,2753,202
49,i64,8880,60599,831
49,u64,5903,24438,607
49,io,3078,4514,347
49,macros,193,619,123
49,macros::builtin,1198,2298,167
49,mem,2064,7905,302
49,object,7913,106211,907
49,ops,44453,539911,4036
49,ops::generator,5264,45281,572
49,option,7737,105056,934
49,result,5103,21580,537
49,stream,1792,4223,244
49,test,1969,4597,254
49,vec,5773,25079,677
49,slice,1899,30947,258
50,iter,47400,531595,2908
50,core,3925,10723,428
50,cmp,4569,16169,651
50,any,2963,3860,316
50,clone,2354,2550,235
50,num,1936,2264,190
50,hash,552,1443,168
50,string,11844,175737,1478
50,bytes,6801,33159,748
50,collections,1411,2198,245
50,collections::hash_map,10749,133785,855
50,collections::hash_set,9353,209595,769
50,collections::vec_deque,6720,67771,815
50,char,2185,9455,298
50,f64,9569,32527,955
50,tuple,3639,17486,456
50,fmt,5032,6356,344
50,future,936,2558,228
50,i64,8321,61652,837
50,u64,5891,24964,605
50,io,3113,8654,377
50,macros,252,944,186
50,macros::builtin,1695,3179,228
50,mem,2995,9393,326
50,object,8204,104333,906
50,ops,44590,535005,4248
50,ops::generator,5219,45281,634
50,option,7747,105157,905
50,result,5019,21124,603
50,stream,1762,3988,277
50,test,2001,4417,319
50,vec,6162,25241,672
50,slice,1835,30627,267
51,iter,49937,528262,2938
51,core,3918,15519,437
51,cmp,4829,15901,648
51,any,3010,4010,310
51,clone,2248,2574,210
51,num,2041,2446,213
51,hash,574,1514,157
51,string,11995,175327,1434
51,bytes,6668,35247,765
51,collections,1361,2227,256
51,collections::hash_map,10837,132319,796
51,collections::hash_set,11503,206844,786
51,collections::vec_deque,6829,67226,794
51,char,2209,9601,340
51,f64,9689,33933,977
51,tuple,3708,17945,447
51,fmt,5203,6552,359
51,future,922,2695,198
51,i64,8869,60425,804
51,u64,5909,24308,654
51,io,3149,4544,368
51,macros,185,664,118
51,macros::builtin,1242,2378,182
51,mem,2151,7944,325
51,object,7934,107492,864
51,ops,47663,537200,4011
51,ops::generator,5326,50686,576
51,option,8169,104319,855
51,result,4726,21507,631
51,stream,1764,4009,266
51,test,1992,4659,275
51,vec,5852,25206,714
51,slice,1907,31232,297
55,iter,51203,528046,2993
55,core,4015,10766,366
55,cmp,4558,15920,587
55,any,1644,3771,331
55,clone,1134,2525,195
55,num,1932,2185,186
55,hash,544,1447,156
55,string,13265,175382,1488
55,bytes,6574,33527,746
55,collections,1388,2175,251
55,collections::hash_map,9875,135145,801
55,collections::hash_set,9900,213364,854
55,collections::vec_deque,7165,67166,821
55,char,2267,9300,313
55,f64,9754,32304,972
55,tuple,3887,17602,460
55,fmt,4963,6311,341
55,future,963,2593,199
55,i64,8549,61108,864
55,u64,6091,24380,674
55,io,3113,4542,350
55,macros,191,625,124
55,macros::builtin,1211,2302,166
55,mem,2132,8080,313
55,object,7975,103924,992
55,ops,44003,543616,4222
55,ops::generator,5228,45848,575
55,option,7729,103915,902
55,result,4720,21150,564
55,stream,1774,4258,265
55,test,1973,4419,271
55,vec,6055,25355,683
55,slice,1873,30464,256
56,iter,45243,529285,3011
56,core,3942,10901,463
56,cmp,5717,16029,654
56,any,2870,3833,294
56,clone,1160,2475,203
56,num,1952,2249,191
56,hash,531,1546,176
56,string,12749,176650,1665
56,bytes,6918,33779,799
56,collections,1384,2162,265
56,collections::hash_map,9501,136987,907
56,collections::hash_set,11090,207979,950
56,collections::vec_deque,7180,67286,839
56,char,2323,9323,322
56,f64,11526,32868,974
56,tuple,3933,17944,466
56,fmt,5278,6383,368
56,future,976,2640,214
56,i64,8251,61720,905
56,u64,5770,24866,655
56,io,3116,4557,374
56,macros,185,594,136
56,macros::builtin,1257,2333,195
56,mem,2093,7941,326
56,object,7953,104341,953
56,ops,45142,544213,4196
56,ops::generator,5438,45539,623
56,option,7704,105097,892
56,result,4819,21492,562
56,stream,1712,4099,257
56,test,1944,4459,297
56,vec,5776,25239,690
56,slice,1982,30701,278
59,iter,44465,534263,2951
59,core,3959,10567,443
59,cmp,4596,15721,647
59,any,1726,3844,279
59,clone,2272,2565,256
59,num,2797,2328,216
59,hash,525,1368,150
59,string,12314,175703,1446
59,bytes,6359,33046,764
59,collections,1392,2261,293
59,collections::hash_map,9395,134061,835
59,collections::hash_set,11670,213320,857
59,collections::vec_deque,7398,67445,899
59,char,2241,9129,290
59,f64,10041,32052,929
59,tuple,3837,17652,420
59,fmt,4957,6333,380
59,future,923,2707,205
59,i64,8573,61292,868
59,u64,5789,24572,618
59,io,3032,4594,366
59,macros,159,610,138
59,macros::builtin,1247,2371,184
59,mem,2140,8207,329
59,object,8210,105056,1056
59,ops,42239,552716,4085
59,ops::generator,5554,45559,575
59,option,7782,103072,908
59,result,4996,21409,616
59,stream,1758,4059,297
59,test,2021,4552,300
59,vec,6407,25270,664
59,slice,1920,30891,288
60,iter,45082,533966,4070
60,core,3993,10963,410
60,cmp,4605,15554,680
60,any,2974,3790,316
60,clone,1058,2621,241
60,num,2062,2216,186
60,hash,529,1408,151
60,string,12051,173579,1476
60,bytes,6030,33096,767
60,collections,1291,2225,247
60,collections::hash_map,9201,134751,825
60,collections::hash_set,9712,213418,843
60,collections::vec_deque,6639,67328,944
60,char,2206,9531,314
60,f64,10126,32503,1005
60,tuple,3969,17596,411
60,fmt,5306,6508,323
60,future,950,2643,210
60,i64,8580,60609,897
60,u64,5985,24536,680
60,io,3197,4659,393
60,macros,195,626,134
60,macros::builtin,1247,2409,183
60,mem,2156,8017,379
60,object,8054,105719,933
60,ops,43499,538392,4112
60,ops::generator,5285,45473,570
60,option,8190,104992,888
60,result,5055,21635,623
60,stream,1682,4071,302
60,test,2118,4510,279
60,vec,5799,25107,742
60,slice,1889,30325,293
62,iter,46428,543608,2838
62,core,3990,10832,425
62,cmp,4774,15891,624
62,any,2943,3804,298
62,clone,1163,2563,257
62,num,1897,2269,210
62,hash,553,1445,183
62,string,12213,173784,1402
62,bytes,6303,33030,789
62,collections,1345,2258,276
62,collections::hash_map,10943,132819,856
62,collections::hash_set,9805,214116,877
62,collections::vec_deque,7124,66850,815
62,char,2316,9386,317
62,f64,9817,34530,985
62,tuple,4938,18346,451
62,fmt,5119,6527,328
62,future,946,2649,211
62,i64,8509,60480,832
62,u64,5804,24585,652
62,io,3134,4653,395
62,macros,191,625,146
62,macros::builtin,1210,2380,199
62,mem,2112,7998,323
62,object,8278,103823,926
62,ops,42792,538332,3937
62,ops::generator,5342,45597,613
62,option,7814,103774,858
62,result,4685,21426,613
62,stream,1730,4006,284
62,test,1925,4522,283
62,vec,5908,25499,674
62,slice,1857,30323,293
63,iter,48158,532040,2827
63,core,4194,10657,377
63,cmp,4594,15621,595
63,any,1637,3779,277
63,clone,2302,2640,231
63,num,2837,2225,161
63,hash,537,1434,144
63,string,13051,174546,1418
63,bytes,6667,33306,755
63,collections,1315,2219,253
63,collections::hash_map,9764,133682,771
63,collections::hash_set,11728,209290,883
63,collections::vec_deque,6954,72580,890
63,char,2219,9241,289
63,f64,9623,32297,886
63,tuple,3693,17395,464
63,fmt,4882,6293,337
63,future,912,2687,197
63,i64,9972,59351,844
63,u64,6181,26206,623
63,io,3229,4635,343
63,macros,173,592,148
63,macros::builtin,1132,2367,179
63,mem,2153,7830,296
63,object,8106,103435,926
63,ops,43871,534487,4045
63,ops::generator,5196,45341,593
63,option,7995,120283,828
63,result,5012,21459,570
63,stream,1708,4119,288
63,test,2023,4458,304
63,vec,6069,27177,747
63,slice,1872,30653,270
64,iter,47139,556110,3041
64,core,3895,10806,369
64,cmp,6020,15956,645
64,any,1747,3826,272
64,clone,2226,2652,198
64,num,3194,2342,173
64,hash,575,1444,104
64,string,12626,176873,1484
64,bytes,6440,33672,765
64,collections,1387,2253,281
64,collections::hash_map,11083,135728,914
64,collections::hash_set,9492,209493,837
